orgID,name,address
198,Pets Looking4 Mates Humane Society,19129 Hwy. 28
314,Rescue Me Incorporated,P.O. Box 385
356,For the Sake of Animals, Inc.,P.O. Box 1013
576,Transporting & Rescuing Animals in Need,
614,City of Temple,TX.Animal Shelter,620 Mama Dog Circle
719,Down East Animal Refuge,PO Drawer 40
767,American Lhasa Apso Club Rescue - Colorado,P. O. Box 1262
776,South East Dallas Humane Society,
790,Italian Greyhound Rescue-Massachusetts,P.O.Box 13
858,Saving Georgia Dogs,PO Box 260
865,Malamute Rescue of Alaska,
869,Sadie's Safe Haven For Animals,P.O. Box 672
877,Volunteers for Inter-Valley Animals,133 N D St
963,My Loveable Rescues,
964,Little Paws Adoption,
991,Shallowford Animal Hospital,6200 Shallowford Road
999,Fresh Start Bird Rescue,
1049,One Shep at a Time! LLC,6641 Willow Rd
1061,Greyhound Gang,PO Box 274
1103,SPCA of Gainesville,P.O. Box 358491
1104,Humane Society of Avoyelles,
1121,Heart of Ohio Ferret Association & Rescue,P.O. Box 15753
1124,Humane Society of Freeborn County,206 W Clark Street, P.O. Box 423
1194,Partners Among Cats And Canines,P.O. Box 1133
1217,For Cat's Sake!,P.O. Box 270583
1222,For Bunny Sake Rabbit Rescue,PO Box 462
1225,Pits And Rotts For Life Rescue, Inc,P.O Box 479
1247,Phelps County Animal Welfare League,PO Box 1981
1291,Heller's Angels, Inc.,4105 N. Co. Rd. 850 East
1336,Rescue Angels,
1347,Sheltered Hearts Animal Rescue & Education, Inc,3700 Quail Meadow Drive
1348,Scottish Terrier Rescue Missouri,
1369,Heritage Humane Society,
1370,Rock County Humane Society,222 S. Arch St. P.O. Box 186
1372,Labrador Friends of the South,PO Box 933 
1397,Saving Pets At Risk,632 N. Broadway
1400,Hillside SPCA, Inc.,P.O. Box 233
1432,Paws To Love Adoptions, Inc.,P.O. Box 1350, Grand Central Station
1434,HumaneSociety of North Central Wv Inc,RR1 box 92-1-a 
1466,The PURRfect KITTY,100 Newtown Rd.
1481,Hope for Gliders,2313 W. 11th
1537,SAINT Animal Rescue,35355 Funk Rd
1546,Friends of the Animals,320 W 6th Street
1577,SPCA of Westchester,590 North State Road
1599,Pittie Paws Rescue,
1619,New England Equine Rescues,
1646,United States Equine Rescue League, Inc.,P.O. Box 317
1730,Town of Rosendale,424 Main St
1743,KP Rescue & ReHoming,
1746,SAFARI - Stray and Feral Animal Rescue Initiative,P.O. Box 280
1749,Just Cats,PO Box 85
1750,Mighty Mutts,PO Box 140139
1761,League City Animal Shelter,821 North Kansas
1845,K9Kastle Corp.,
1234,Pals For Paws, Inc,P.O.Box 14740
401,Concord-Merrimack County SPCA,130 Washington Street 
1760,The Heartworm Project,P.O. Box 7308
1717,Hawaii Dog Foundation,PO Box 30171
1878,Fur Keeps Animal Rescue,
1914,Angels for Animals, Inc.,4750 State Route 165
1934,Rutherford County PAWS,285 John Rice Boulevard
568,City of Rancho Cucamonga Animal Shelter,11780 Arrow Rte
1951,Austin Town Lake Animal Center,1156 West Cesar Chavez Street
2009,East Valley Animal Care and Control Center,14409 Vanowen Street
2010,Harbor Animal Care and Control Center,735 Battery Street
2012,West Los Angeles Animal Care and Control Center,11950 Missouri Avenue
2013,South Los Angeles Animal Care and Control Center,3612 11th Avenue
2014,North Central Animal Care and Control,3201 Lacy Street
2015,West Valley Animal Care and Control Center,20655 Plummer Street
1913,Amador County Animal Control,12340 Airport Road
1915,Animal Protective Association of Missouri,1705 South Hanley Road
1929,Larimer Humane Society,6317 Kyle Avenue
1930,Lathrop Animal Services,390 Towne Centre Drive
1936,City of Sacramento Animal Care Services,2127 Front Street
1937,Salinas Animal Shelter,144 Hitchcock Road
1938,San Jose Animal Care Center,2750 Monterey Road
1939,Stanislaus County Animal Services,2846 Finch Road
1907,Silicon Valley Animal Control Authority,3370 Thomas Road
1953,Coastal Animal Services Authority,221 Avenida Fabricante
1954,Talbot Humane,7894 Ocean Gateway
1965,Animal Rescue Fund of the Hamptons,Daniels Hole Road
1976,Animal Rescue League of Boston - Cape Cod Branch,3981 Main Street
1977,Animal Rescue League of Boston - Pine Ridge Animal Shelter,55 Anna's Place
1978,Sacramento County Animal Care and Regulation,4290 Bradshaw Road
1991,Casper Metro Animal Control and Welfare,200 North David Street
1994,Olathe Animal Control Unit,505 East Sunvale
1899,Thomas J. O'Connor Animal Control and Adoption Center,627 Cottage Street
2004,Ventura County Animal Regulation,600 Aviation Drive
1004,Hidden Meadow Ranch,
2031,City of Edmond Animal Welfare,2424 Old Timbers Drive
2033,Macomb County Animal Shelter and Animal Control,21417 Dunham Road
2034,Humane Society of Missouri,1201 Macklind Avenue
2036,Humane Society of Missouri - Longmeadow,
2037,Humane Society of Missouri - Chesterfield Valley,17537 Edison Avenue
2082,Garland Animal Services,600 Tower Street
2088,The City of Calgary Animal & Bylaw Services,2201 Portland Street SE
2098,Orange County Animal Services,2769 Conroy Road
2096,Broward County Animal Care & Regulation - Ft. Lauderdale,1870 SW 39th Street
2115,Lincoln County Humane Society,200 N Memorial Drive
2118,Sato Dream Home,Bo. Playa A-99
2081,Collier County Domestic Animal Services,7610 Davis Boulevard
2126,Rescue Volunteer Adoptions,
2143,Richland County Dog Pound,810 N. Home Rd
2154,Pueblo Animal Services,4600 Eagleridge Place
2165,Wits End Pet Rescue,228 McKinley Ave
2195,Loudoun County Animal Care & Control,39820 Charles Town Pike
2220,Louisville Metro Animal Services,3705 Manslick Road
2221,Orange County Animal Care Center,561 The City Drive South
2227,Rescue Alliance of Hairless & Other Breeds, Inc.,
2231,NOAH Animal Rescue Inc ,
2273,Irvine Animal Care Center,6443 Oak Canyon
2279,Siberian Husky Rescue Referral of California,303 Cameo
269,Mendocino Animal Control - Ukiah,Plant Road
2304,St. Francis Society for the Prevention of Cruelty to Animals, Inc.,12300 116th Street
2326,Hope's Rescue,395 Riverbend Rd
1497,French Bulldog Rescue Network,P.O. Box 4764
1975,Animal Rescue League of Boston - Headquarters,10 Chandler Street
185,Gold Ribbon Rescue,PO Box 956
2353,Dearborn Animal Hospital,715 E College Ave
2364,SPCA of Wake County,200 Petfinder Lane
2376,Kalkaska Animal Shelter,605 N. Birch Street
2377,Peke Safeheaven of Michigan,4712 W BerryRd
2423,FidoKnows Rescue,
2430,Pet Adoption Fund,7507 Deering Ave.
2444,Senior Dogs 4 Seniors,1109 Babler Forest Court
2463,LL Dog Rescue,P. O. Box 8545
866,The Kris Kelly Foundation,439 North Canon Drive Suite 300
2480,Karens K-9s,
2509,Westie\/Cairn Terrier Rescue of SW Ohio,
222,Tennessee Pekingese Rescue,Box 67
2545,West Tennessee Border Collie Rescue,PO Box 2467
2629,Friends of the Southern Ocean County Animal Shelter,
2112,Del Norte County Animal Control,2650 Washington Blvd
2647,Animal Rescue League of El Paso - No Kill,7256 La Junta
2660,The Feline Haven,
2663,Pearland Animal Control and Adoption Center,2002 Old Alvin Road
2673,Partners for Pets,4011 Maintenance Drive
1933,Prince Georges County Animal Management Division,8311 D`Arcy Road
1378,Golden Retrievers In Need Rescue Service, Inc.,P.O. Box 24365
2177,Lonely Hearts Animal Rescue,
2707,St. Clair County Animal Adoption Center,1250 South 11th Street 
2730,SOS Beagle Rescue, Inc.,814 Judith Lane
2745,Polk County Animal Shelter,1733 N. Washington 
2109,Toledo Area Humane Society,1920 Indianwood Circle
2751,Shelter Friends Rescue,P.O. Box 3
2753,German Shepherd Dogs 411,287 Sisson Rd
2083,HCPHES Veterinary Public Health,612 Canino Road
1901,Fairfax County Animal Services,4500 West Ox Road
2770,Go Boxer Rescue,P.O. Box 621
1558,Animal Friends, Inc.,562 Camp Horne Road
995,Anderson Humane Society,1410 Versailles Road
788,Pets In Distress, Inc.,P.O.Box 550876
2782,Burbank Animal Shelter ,1150 North Victory Place 
2785,Friends of the Four-Legged and Furry,PO Box 34
2787,Midwest Shiba Inu Rescue,
2816,Fairbanks North Start Borough Animal Control,2408 Davis Road
2835,McHenry County Animal Control,100 N Virginia Street (US Hwy 14) 
2836,MSPCA - Boston Animal Care and Adoption Center,350 South Huntington Avenue
887,All For The Animals, Inc.,
2838,Project Racing Home,7015 Faulkner Rd.
2861,Kings County Animal Services,10909 Bonneyview Lane 
2874,Taradise Rescue,
2883,Polk County Animal Control,7115 de Castro Road
2900,Sunshine Acres,
2901,West Valley Animal Services,4063 S. 7200 W.
2903,Kern Co Animal Control Dept - Bakersfield,201 S Mt Vernon Ave
2913,Kern County Animal Control - Mojave Shelter,923 Poole Street, Mojave Airport 
2914,Kern River Valley Shelter,14891 Highway 178
2905,S.A.F.E. Animal Haven,PO Box 3206
119,California Animal Shelter Friends, Inc.,34511 Highway 16
2950,Oklahoma City Animal Welfare Division,2811 SE 29th Street
129,Pet Haven Rescue Inc Murrieta,
2964,City of Georgetown Animal Shelter,110 W L Walden
654,Ernest W. Bell Animal Shelter\/ Swansea Animal Control,68 Stevens Rd.
2969,Nebraska Schnauzer Network,P O Box 114
2854,Hughs Pet Adoption,306 East 14th Street
